0,1,2
552.0,410.0,-84.5004
556.0,442.0,-84.07513
564.0,465.0,-83.54231
572.0,489.0,-79.83738
584.0,517.0,-66.32394
595.0,540.0,-42.640724
615.0,552.0,-14.918696
635.0,564.0,10.181973
670.0,572.0,21.245468
702.0,564.0,8.127685
722.0,548.0,-17.300194
737.0,532.0,-45.34002
749.0,513.0,-68.637985
761.0,489.0,-81.1483
769.0,465.0,-84.1959
777.0,438.0,-84.671524
781.0,406.0,-84.63255
572.0,375.0,15.471977
584.0,363.0,31.38945
603.0,355.0,42.161087
619.0,359.0,48.534218
635.0,363.0,50.91837
694.0,363.0,51.746517
706.0,359.0,49.56152
725.0,355.0,43.257954
741.0,359.0,32.911293
757.0,371.0,16.693056
662.0,398.0,48.58064
662.0,418.0,58.556343
662.0,434.0,72.36066
662.0,450.0,74.28672
647.0,465.0,49.565483
655.0,465.0,53.699482
666.0,469.0,55.782795
678.0,465.0,52.831097
686.0,465.0,48.250694
595.0,398.0,27.040464
607.0,394.0,38.13001
619.0,394.0,38.83017
631.0,398.0,34.479706
623.0,402.0,38.22809
607.0,402.0,35.62565
698.0,398.0,36.141552
710.0,394.0,40.286697
722.0,394.0,39.679623
733.0,398.0,28.04964
722.0,402.0,36.50829
706.0,402.0,39.443302
631.0,509.0,37.430885
643.0,501.0,52.726498
658.0,489.0,60.444572
666.0,493.0,61.555195
674.0,489.0,59.70998
690.0,497.0,49.32501
702.0,509.0,31.99337
690.0,517.0,43.682095
682.0,524.0,49.904358
666.0,524.0,51.900723
655.0,524.0,51.388287
643.0,517.0,46.813564
635.0,509.0,37.620945
655.0,505.0,54.2599
666.0,501.0,56.30266
678.0,501.0,52.73519
702.0,505.0,32.032715
678.0,509.0,48.28908
666.0,509.0,50.212837
655.0,509.0,49.60777
